Accumulable ID;Task ID;Name;Update;Value;Internal;Count Failed Values
1576;104;internal.metrics.shuffle.read.localBlocksFetched;1;1;True;True
1576;105;internal.metrics.shuffle.read.localBlocksFetched;2;3;True;True
1577;104;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1577;105;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1578;104;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1578;105;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1579;104;internal.metrics.shuffle.read.localBytesRead;207366;207366;True;True
1579;105;internal.metrics.shuffle.read.localBytesRead;508012;715378;True;True
1580;104;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1580;105;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1581;104;internal.metrics.shuffle.read.recordsRead;18;18;True;True
1581;105;internal.metrics.shuffle.read.recordsRead;19;37;True;True
1582;104;internal.metrics.shuffle.write.bytesWritten;205284;205284;True;True
1582;105;internal.metrics.shuffle.write.bytesWritten;205186;410470;True;True
1583;104;internal.metrics.shuffle.write.recordsWritten;18;18;True;True
1583;105;internal.metrics.shuffle.write.recordsWritten;18;36;True;True
1584;104;internal.metrics.shuffle.write.writeTime;1602682;1602682;True;True
1584;105;internal.metrics.shuffle.write.writeTime;1724516;3327198;True;True
1592;106;internal.metrics.executorDeserializeTime;1;1;True;True
1592;107;internal.metrics.executorDeserializeTime;1;2;True;True
1593;106;internal.metrics.executorDeserializeCpuTime;1628962;1628962;True;True
1593;107;internal.metrics.executorDeserializeCpuTime;1662294;3291256;True;True
1594;106;internal.metrics.executorRunTime;397;397;True;True
1594;107;internal.metrics.executorRunTime;422;819;True;True
1595;106;internal.metrics.executorCpuTime;4940815;4940815;True;True
1595;107;internal.metrics.executorCpuTime;4611591;9552406;True;True
1596;106;internal.metrics.resultSize;339957;339957;True;True
1596;107;internal.metrics.resultSize;339957;679914;True;True
1599;106;internal.metrics.memoryBytesSpilled;0;0;True;True
1599;107;internal.metrics.memoryBytesSpilled;0;0;True;True
1600;106;internal.metrics.diskBytesSpilled;0;0;True;True
1600;107;internal.metrics.diskBytesSpilled;0;0;True;True
1605;106;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1605;107;internal.metrics.shuffle.read.remoteBlocksFetched;0;0;True;True
1606;106;internal.metrics.shuffle.read.localBlocksFetched;1;1;True;True
1606;107;internal.metrics.shuffle.read.localBlocksFetched;1;2;True;True
1607;106;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1607;107;internal.metrics.shuffle.read.remoteBytesRead;0;0;True;True
1608;106;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1608;107;internal.metrics.shuffle.read.remoteBytesReadToDisk;0;0;True;True
1609;106;internal.metrics.shuffle.read.localBytesRead;205186;205186;True;True
1609;107;internal.metrics.shuffle.read.localBytesRead;205284;410470;True;True
1610;106;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1610;107;internal.metrics.shuffle.read.fetchWaitTime;0;0;True;True
1611;106;internal.metrics.shuffle.read.recordsRead;18;18;True;True
1611;107;internal.metrics.shuffle.read.recordsRead;18;36;True;True
