Task ID;Attempt;Launch Time;Executor ID;Host;Locality;Speculative;Getting Result Time;Finish Time;Failed;Killed;Stage ID;Duration
34;0;2021-03-10 11:02:12.793;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:13.173;False;False;47;0.38
35;0;2021-03-10 11:02:12.794;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:13.251;False;False;47;0.457
36;0;2021-03-10 11:02:13.533;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:16.864;False;False;48;3.331
37;0;2021-03-10 11:02:13.533;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:16.945;False;False;48;3.412
39;0;2021-03-10 11:02:16.961;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:25.699;False;False;49;8.738
38;0;2021-03-10 11:02:16.961;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:26.355;False;False;49;9.394
40;0;2021-03-10 11:02:26.369;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374150376;2021-03-10 11:02:30.394;False;False;50;4.025
41;0;2021-03-10 11:02:26.370;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374150443;2021-03-10 11:02:30.457;False;False;50;4.087
43;0;2021-03-10 11:02:30.786;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:39.662;False;False;53;8.876
42;0;2021-03-10 11:02:30.786;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:40.155;False;False;53;9.369
44;0;2021-03-10 11:02:40.175;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:56.944;False;False;54;16.769
45;0;2021-03-10 11:02:40.175;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:02:57.148;False;False;54;16.973
46;0;2021-03-10 11:02:57.174;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374183994;2021-03-10 11:03:04.033;False;False;55;6.859
47;0;2021-03-10 11:02:57.175;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;1615374184018;2021-03-10 11:03:04.064;False;False;55;6.889
49;0;2021-03-10 11:03:04.669;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:03:14.775;False;False;60;10.106
48;0;2021-03-10 11:03:04.669;driver;ip-10-172-242-227.us-west-2.compute.internal;PROCESS_LOCAL;False;0;2021-03-10 11:03:15.169;False;False;60;10.5
