filename,edge_per_node,loop_counter,command,end_of_command,accum
../../data/graph_15M_11.txt,11,3,it_groupby,2021-03-17 17:27:29.684896,0
../../data/graph_15M_11.txt,11,3,it_reduce,2021-03-17 17:27:35.611383,8205699
../../data/graph_15M_11.txt,11,3,ded_map,2021-03-17 17:27:47.158143,16411398
../../data/graph_15M_11.txt,11,3,ded_groupby,2021-03-17 17:28:03.181122,24617097
../../data/graph_15M_11.txt,11,3,ded_reduce,2021-03-17 17:28:05.530636,24617097
../../data/graph_15M_11.txt,11,4,it_map,2021-03-17 17:28:08.128493,0
../../data/graph_15M_11.txt,11,4,it_groupby,2021-03-17 17:28:11.784336,0
../../data/graph_15M_11.txt,11,4,it_reduce,2021-03-17 17:28:13.207336,592046
../../data/graph_15M_11.txt,11,4,ded_map,2021-03-17 17:28:15.162818,1184092
../../data/graph_15M_11.txt,11,4,ded_groupby,2021-03-17 17:28:18.714555,1776138
../../data/graph_15M_11.txt,11,4,ded_reduce,2021-03-17 17:28:19.258276,1776138
../../data/graph_15M_11.txt,11,5,it_map,2021-03-17 17:28:19.903855,0
../../data/graph_15M_11.txt,11,5,it_groupby,2021-03-17 17:28:21.246448,0
../../data/graph_15M_11.txt,11,5,it_reduce,2021-03-17 17:28:22.250555,0
../../data/graph_15M_11.txt,11,5,ded_map,2021-03-17 17:28:23.313394,0
../../data/graph_15M_11.txt,11,5,ded_groupby,2021-03-17 17:28:25.427839,0
../../data/graph_15M_11.txt,11,5,ded_reduce,2021-03-17 17:28:25.761367,0
