filename,edge_per_node,loop_counter,command,end_of_command,accum
../../data/graph_10M_11.txt,11,2,it_map,2021-03-17 15:23:16.482248,0
../../data/graph_10M_11.txt,11,2,it_groupby,2021-03-17 15:23:27.231031,0
../../data/graph_10M_11.txt,11,2,it_reduce,2021-03-17 15:23:30.971451,3252750
../../data/graph_10M_11.txt,11,2,ded_map,2021-03-17 15:23:37.179994,6505500
../../data/graph_10M_11.txt,11,2,ded_groupby,2021-03-17 15:24:58.254313,9758250
../../data/graph_10M_11.txt,11,2,ded_reduce,2021-03-17 15:25:08.880045,9758250
../../data/graph_10M_11.txt,11,3,it_map,2021-03-17 15:25:23.008632,0
../../data/graph_10M_11.txt,11,3,it_groupby,2021-03-17 15:25:38.039309,0
../../data/graph_10M_11.txt,11,3,it_reduce,2021-03-17 15:25:41.584976,5421620
../../data/graph_10M_11.txt,11,3,ded_map,2021-03-17 15:25:48.744026,10843240
../../data/graph_10M_11.txt,11,3,ded_groupby,2021-03-17 15:25:58.993633,16264860
../../data/graph_10M_11.txt,11,3,ded_reduce,2021-03-17 15:26:00.461687,16264860
../../data/graph_10M_11.txt,11,4,it_map,2021-03-17 15:26:02.067100,0
../../data/graph_10M_11.txt,11,4,it_groupby,2021-03-17 15:26:04.431909,0
../../data/graph_10M_11.txt,11,4,it_reduce,2021-03-17 15:26:05.453412,397050
../../data/graph_10M_11.txt,11,4,ded_map,2021-03-17 15:26:06.804154,794100
../../data/graph_10M_11.txt,11,4,ded_groupby,2021-03-17 15:26:09.225626,1191150
../../data/graph_10M_11.txt,11,4,ded_reduce,2021-03-17 15:26:09.580193,1191150
../../data/graph_10M_11.txt,11,5,it_map,2021-03-17 15:26:09.988345,0
../../data/graph_10M_11.txt,11,5,it_groupby,2021-03-17 15:26:10.918901,0
../../data/graph_10M_11.txt,11,5,it_reduce,2021-03-17 15:26:11.626995,0
../../data/graph_10M_11.txt,11,5,ded_map,2021-03-17 15:26:12.390065,0
../../data/graph_10M_11.txt,11,5,ded_groupby,2021-03-17 15:26:13.853901,0
../../data/graph_10M_11.txt,11,5,ded_reduce,2021-03-17 15:26:14.081218,0
